Date,BE,VD,TI,VS,LU,ZH,BS,SG,GE
03-19-2023,0,0,1,0,1,0,0,0,0
04-04-2023,0,0,0,0,0,0,0,0,0
04-07-2023,1,1,0,0,1,1,1,1,1
04-10-2023,1,1,1,0,0,1,1,1,1
04-10-2023,0,0,0,0,0,0,0,0,0
05-01-2023,0,0,0,0,0,1,1,0,0
05-01-2023,0,0,1,0,0,0,0,0,0
05-18-2023,1,1,1,1,1,1,1,1,1
05-29-2023,1,1,0,0,0,1,1,1,1
05-29-2023,0,0,1,0,0,0,0,0,0
06-08-2023,0,0,0,1,1,0,0,0,0
06-08-2023,0,0,1,0,0,0,0,0,0
06-29-2023,0,0,1,0,0,0,0,0,0
08-01-2023,1,1,1,1,1,1,1,1,1
08-15-2023,0,0,1,1,1,0,0,0,0
09-07-2023,0,0,0,0,0,0,0,0,1
09-17-2023,1,0,0,0,1,1,1,1,0
09-18-2023,0,1,0,0,0,0,0,0,0
11-01-2023,0,0,1,1,1,0,0,1,0
12-08-2023,0,0,1,1,1,0,0,0,0
12-08-2023,0,0,0,0,0,0,0,0,0
12-25-2023,1,1,1,1,1,1,1,1,1
12-26-2023,1,0,1,0,1,1,1,1,0
12-26-2023,0,0,0,0,0,0,0,0,0
01-01-2024,1,1,1,1,1,1,1,1,1
01-02-2024,1,1,0,0,0,0,0,0,0
01-06-2024,0,0,1,0,0,0,0,0,0
01-06-2024,0,0,0,0,0,0,0,0,0
03-01-2024,0,0,0,0,0,0,0,0,0
03-19-2024,0,0,0,1,0,0,0,0,0
03-19-2024,0,0,1,0,1,0,0,0,0
03-29-2024,1,1,0,0,1,1,1,1,1
04-01-2024,1,1,1,0,0,1,1,1,1
04-01-2024,0,0,0,0,0,0,0,0,0
04-04-2024,0,0,0,0,0,0,0,0,0
05-01-2024,0,0,0,0,0,1,1,0,0
05-01-2024,0,0,1,0,0,0,0,0,0
05-09-2024,1,1,1,1,1,1,1,1,1
05-20-2024,1,1,0,0,0,1,1,1,1
05-20-2024,0,0,1,0,0,0,0,0,0
05-30-2024,0,0,0,1,1,0,0,0,0
05-30-2024,0,0,1,0,0,0,0,0,0
06-29-2024,0,0,1,0,0,0,0,0,0
08-01-2024,1,1,1,1,1,1,1,1,1
08-15-2024,0,0,1,1,1,0,0,0,0
09-05-2024,0,0,0,0,0,0,0,0,1
09-15-2024,1,0,0,0,1,1,1,1,0
09-16-2024,0,1,0,0,0,0,0,0,0
11-01-2024,0,0,1,1,1,0,0,1,0
12-08-2024,0,0,1,1,1,0,0,0,0
12-08-2024,0,0,0,0,0,0,0,0,0
12-25-2024,1,1,1,1,1,1,1,1,1
12-26-2024,1,0,1,0,1,1,1,1,0
12-26-2024,0,0,0,0,0,0,0,0,0
